experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
93,RUN_2,split 70/30,0.3,7,0.001,50,0.478261,0.25,0.014286,0.027027,0.335296,0.330828,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
94,RUN_2,split 70/30,0.3,7,0.001,75,0.478261,0.25,0.014286,0.027027,0.335296,0.330828,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
95,RUN_2,split 70/30,0.3,7,0.001,100,0.478261,0.25,0.014286,0.027027,0.335296,0.330828,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
96,RUN_3,split 60/40,0.4,7,0.01,25,0.491803,0.5,0.021505,0.041237,0.347756,0.342731,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
97,RUN_3,split 60/40,0.4,7,0.01,50,0.912568,0.888889,0.946237,0.916667,0.912356,0.912427,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
98,RUN_3,split 60/40,0.4,7,0.01,75,0.737705,0.881356,0.55914,0.684211,0.729956,0.729206,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
99,RUN_3,split 60/40,0.4,7,0.01,100,0.912568,0.888889,0.946237,0.916667,0.912356,0.912427,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
100,RUN_3,split 60/40,0.4,7,0.05,25,0.612022,0.892857,0.268817,0.413223,0.561714,0.559279,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
101,RUN_3,split 60/40,0.4,7,0.05,50,0.912568,0.888889,0.946237,0.916667,0.912356,0.912427,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
102,RUN_3,split 60/40,0.4,7,0.05,75,0.857923,0.958904,0.752688,0.843373,0.856687,0.856468,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
103,RUN_3,split 60/40,0.4,7,0.05,100,0.912568,0.888889,0.946237,0.916667,0.912356,0.912427,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
104,RUN_3,split 60/40,0.4,7,0.001,25,0.480874,0.25,0.010753,0.020619,0.333729,0.328596,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
105,RUN_3,split 60/40,0.4,7,0.001,50,0.912568,0.888889,0.946237,0.916667,0.912356,0.912427,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
